path,label,cobb_deg,grade,n_vertebrae,mean_curv,sift_n,orb_n,angle_L1,angle_L2,angle_L3,angle_L4,angle_L5
data\normal\spine10.png,normal,79.48472183652143,Severe,5,0.3263486868196777,142,41,85.92412236213296,74.80102137313649,85.78538912221414,69.20527953709585,6.439400525611527
data\normal\spine11.png,normal,131.0059204562755,Severe,5,0.2132318261809865,188,61,77.15140832191499,-21.119598850611734,60.85861557598251,-6.617490026913292,-1.678653809019298
data\normal\spine12.png,normal,58.50712905902397,Severe,5,0.32637954997017055,254,183,5.3361277771474,-3.740889247480101,2.3357549841811953,-11.555304102125172,-53.17100128187656
data\normal\spine13.png,normal,168.5496280597622,Severe,5,0.6065803827827261,150,52,72.23190907210484,73.95003637794866,-82.53988116732056,77.48460735034955,0.9637980298316048
data\normal\spine14.png,normal,169.52990343760962,Severe,1,0.7175103545147156,183,141,-1.6563104118595826,,,,
data\normal\spine15.png,normal,177.8922392663657,Severe,4,0.551944887004319,137,13,-1.1919937451416929,-87.3209390435762,-84.32742006809784,-83.68731585880572,
data\normal\spine16.png,normal,177.9099355258009,Severe,3,0.44298670964173936,144,79,36.15821688617071,41.869016099447755,7.056567558044685,,
data\normal\spine17.png,normal,2.7608668559629166,Normal,1,0.13400521266012244,237,393,13.580530434298641,,,,
data\normal\spine18.png,normal,179.989493666221,Severe,4,0.10676904083249705,119,99,-81.90364418295742,-4.969770700840086,8.089652015324472,-83.51964690189924,
data\normal\spine19.png,normal,92.19657677900342,Severe,4,0.5024360700140811,131,56,-85.46679968636006,-82.77745826848302,-0.5128081942119522,6.729777092643365,
data\normal\spine2.png,normal,70.35856670054623,Severe,5,0.39036583886536014,283,143,-13.70396440305584,-41.07334732543952,-13.721273185405028,14.920855600171686,-55.43771110037454
data\normal\spine3.png,normal,87.99799499645928,Severe,2,0.026701429962512357,180,130,-5.337937882334093,82.6600571141252,,,
data\normal\spine4.png,normal,179.07748464470592,Severe,5,0.1391187078378635,354,428,-67.5703756395695,7.60765607298806,-69.43024091487918,3.8247799264495344,5.410280187309545
